sent_id,initial_sentence,prob,prob_class,sent_length
932629,His chorus identity is sometimes named Quaxo.,-53.03567123413086,low,short
1421311,Such strongly audible ideals required an equally audible medium.,-51.11023712158203,low,short
1367427,Ali Marpet's mother is Joy Rose.,-44.2984619140625,low,short
406112,The production of Latvian euros began in July 2013.,-40.59741973876953,low,short
586520,The route numbers generally increase moving north to south.,-39.4202995300293,low,short
1478396,The individual diving competitions all consist of three rounds.,-20.4722900390625,high,short
717691,About 170 campers attend the camps each week.,-18.73958969116211,high,short
1359180,The theme song was composed by Alan Thicke.,-11.046525955200195,high,short
780378,She grew up with three brothers and ten sisters.,-8.712162017822266,high,short
1371762,A total of 16 teams were invited to participate.,-5.408510208129883,high,short
1166202,"They then launched the Great Dickens Christmas Fair in San Francisco, an indoor event, in 1970.",-74.87278747558594,low,medium
2001773,The Hats eagerly caught at the opportunity of recovering the lost lands and their own prestige with it.,-70.96920776367188,low,medium
417512,"If person wants to transport a bike in a Prague train, ticket for oversized luggage is needed.",-68.75541687011719,low,medium
1434777,This is introduced to increase government efficiency with 264 government tasks to be attached to the new system.,-61.50168991088867,low,medium
2661329,He was also one of the rare contributors interpreting the existing contemporary caste system at a theoretical level.,-56.917640686035156,low,medium
1053450,This company purchased all the water-bearing lands in the valley and began drilling artesian wells.,-20.609935760498047,high,medium
2166262,"The growth rate is rapid in the first year, then slows down as the fish age.",-15.29083251953125,high,medium
1472874,"1,253 people are employed in the secondary sector and there are 72 businesses in this sector.",-12.10147476196289,high,medium
248289,Asparagine usually enters the citric acid cycle in humans as oxaloacetate.,-9.541655540466309,high,medium
595107,"She had always dreamed of writing plays, and she began writing and acting in her teenage years.",-7.5777974128723145,high,medium
1329856,"By the 1940s the AM broadcast industry had abandoned the Blaw-Knox design for the modern type of narrow, uniform cross section lattice mast, which had a better radiation pattern.",-95.90634155273438,low,long
1114426,"Park features some of the most iconic and memorable styles in the Korean industry, ranging from her signature tail lilt eye make-up, to her bold hair styles and clothing.",-98.15050506591797,low,long
1355732,"As suggested by the name of their competitions, the primary metrics used for the Formula teams are Design, Acceleration and Lap Time with Cost and Business Presentation as other important events.",-109.95130920410156,low,long
